Source Rank,Full Name
1,Nathan MacKinnon
2,Aleksander Barkov
3,Jonathan Drouin
4,Seth Jones
5,Elias Lindholm
6,Sean Monahan
7,Darnell Nurse
8,Rasmus Ristolainen
9,Bo Horvat
10,Valeri Nichushkin
11,Samuel Morin
12,Max Domi
13,Josh Morrissey
14,Alexander Wennberg
15,Ryan Pulock
16,Nikita Zadorov
17,Curtis Lazar
18,Mirco Mueller
19,Kerby Rychel
20,Anthony Mantha
21,Frederik Gauthier
22,Emile Poirier
23,Andre Burakovsky
24,Hunter Shinkaruk
25,Michael McCarron
26,Shea Theodore
27,Marko Dano
28,Morgan Klimchuk
29,Jason Dickinson
30,Ryan Hartman
31,Ian McCoshen
32,Chris Bigras
33,Adam Erne
34,Jacob De La Rose
35,J.T. Compher
36,Zachary Fucale
37,Valentin Zykov
38,Connor Hurley
39,Laurent Dauphin
40,Remi Elie
41,Robert Hagg
42,Steven Santini
43,Nic Petan
44,Tristan Jarry
45,Nick Sorensen
46,Gustav Olofsson
47,Thomas Vannelli
48,Zach Nastasiuk
49,Gabryel Boudreau
50,Dillon Heatherington
51,Carl Dahlstrom
52,Justin Bailey
53,Madison Bowey
54,Philippe Desrosiers
55,Artturi Lehkonen
56,Marc-Olivier Roy
57,William Carrier
58,Tyler Bertuzzi
59,Eric Comrie
60,Linus Arnesson
61,Zachary Sanford
62,Pavel Laplante
63,Spencer Martin
64,Jonathan Diaby
65,Adam Tambellini
66,Brett Pesce
67,Keegan Kanzig
68,Niklas Hansson
69,Nicholas Baptiste
70,Eamon McAdam
71,Connor Crisp
72,Tyrell Goulbourne
73,Ryan Kujawinski
74,John Hayden
75,Pavel Buchnevich
76,Taylor Cammarata
77,Jake Guentzel
78,Marcus Hogberg
79,Mattias Janmark
80,Anthony Duclair
81,Kurtis Gabriel
82,Carter Verhaeghe
83,Bogdan Yakimov
84,Jimmy Lodge
85,Cole Cassels
86,Sven Andrighetto
87,Keaton Thompson
88,Anton Slepyshev
89,Oliver Bjorkstrand
90,Peter Cehlarik
91,J.C. Lipon
92,Evan Cowley
93,Mason Geertsen
94,Jackson Houck
95,Felix Girard
96,Kyle Platzer
97,Michael Downing
98,Matt Buckles
99,Juuse Saros
100,Miles Wood
101,Nick Paul
102,Tobias Lindberg
103,Justin Auger
104,Andrew Copp
105,Nick Moutrey
106,Stephon Williams
107,Dylan Labbe
108,Ben Harpur
109,David Pope
110,Ryan Graves
111,Robin Norell
112,Zach Pochiro
113,Aidan Muir
114,Jan Kostalek
115,Jordan Subban
116,Martin Reway
117,Fredrik Bergvik
118,Hudson Fasching
119,Ryan Segalla
120,Ryan Fitzgerald
121,Tyler Motte
122,Christopher Clapperton
123,Will Butcher
124,Kristers Gudlevskis
125,Saku Maenalanen
126,Brent Pedersen
127,Tucker Poolman
128,Evan Campbell
129,Calvin Petersen
130,Gustav Possler
131,Cole Ully
132,Terrance Amorosa
133,Connor Clifton
134,Luke Johnson
135,Eric Roy
136,Victor CrusRydberg
137,Carson Soucy
138,Vincent Dunn
139,Mitchell Wheaton
140,Teemu Kivihalme
141,Michael Brodzinski
142,Fabrice Herzog
143,Anthony Florentino
144,Blake Heinrich
145,Anton Cederholm
146,Patrik Bartosak
147,Grant Besse
148,Jonny Brodzinski
149,Matej Paulovic
150,Wiley Sherman
151,Gage Ausmus
152,Joshua Brown
153,Ben Storm
154,Henri Ikonen
155,Emil Pettersson
156,Tyler Ganly
157,Tim Harrison
158,Ben Betker
159,Sean Malone
160,Myles Bell
161,Chris Leblanc
162,Merrick Madsen
163,Brendan Burke
164,Dane Birks
165,Markus Soberg
166,Alan Quine
167,Avery Peterson
168,Quentin Shore
169,Marc McNulty
170,Mackenzie Skapski
171,Tommy Veilleux
172,Antoine Bibeau
173,Santeri Saari
174,Brian Pinho
175,Mike Williamson
176,Jeremy Gregoire
177,Miro Aaltonen
178,Zachary Leslie
179,Blaine Byron
180,Anton Blidh
181,Anthony Louis
182,Aleksi Makela
183,Wilhelm Westlund
184,Saku Salminen
185,Wade Murphy
186,Joel Vermin
187,Rushan Rafikov
188,Gregory Chase
189,Eric Locke
190,Brenden Kichton
191,Dominik Kubalik
192,David Drake
193,Jedd Soleway
194,Marcus Karlstrom
195,Peter Quenneville
196,Kyle Burroughs
197,Nolan De Jong
198,John Gilmour
199,Hampus Melen
200,Alexandre Belanger
201,Jacob Jackson
202,Andreas Johnson
203,Janne Juvonen
204,Tyler Lewington
205,Miles Liberati
206,MacKenzie Weegar
207,Emil Galimov
208,Anthony Brodeur
209,Troy Josephs
210,Mitchell Dempsey
211,Robin Press
