Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
David Pastrnak,Pastrnak,1353,7,0,1
Aaron Ekblad,Ekblad,3457,16,0,2
Robby Fabbri,Fabbri,958,4,0,3
Dylan Larkin,Larkin,1323,6,0,4
William Nylander,Nylander,359,1,0,5
Sam Reinhart,Reinhart,1423,5,0,6
Nikolaj Ehlers,Ehlers,1159,4,0,7
Leon Draisaitl,Draisaitl,1769,5,0,8
Sam Bennett,Bennett,1182,3,0,9
Nikolay Goldobin,Goldobin,100,0,0,10
Nikita Tryamkin,Tryamkin,227,0,0,11
Jared McCann,McCann,864,1,0,12
Jake Virtanen,Virtanen,636,1,0,13
Viktor Arvidsson,Arvidsson,755,1,0,14
Rinat Valiev,Valiev,122,0,0,15
Nick Ritchie,Ritchie,388,0,0,16
Kasperi Kapanen,Kapanen,133,0,0,17
Michael Dal Colle,Colle,,,,18
Haydn Fleury,Fleury,,,,18
Kevin Fiala,Fiala,,,,18
Brendan Perlini,Perlini,,,,18
Jakub Vrana,Vrana,,,,18
Julius Honka,Honka,,,,18
Sonny Milano,Milano,,,,18
Travis Sanheim,Sanheim,,,,18
Alex Tuch,Tuch,,,,18
Anthony Deangelo,Deangelo,,,,18
Nick Schmaltz,Schmaltz,,,,18
Conner Bleackley,Bleackley,,,,18
Nikita Scherbak,Scherbak,,,,18
Josh Ho-Sang,Ho-Sang,,,,18
Adrian Kempe,Kempe,,,,18
John Quenneville,Quenneville,,,,18
Brendan Lemieux,Lemieux,,,,18
Jayce Hawryluk,Hawryluk,,,,18
Ivan Barbashev,Barbashev,,,,18
Mason McDonald,McDonald,,,,18
Dominik Masin,Masin,,,,18
Thatcher Demko,Demko,,,,18
Alex Nedeljkovic,Nedeljkovic,,,,18
Marcus Pettersson,Pettersson,,,,18
Vitek Vanecek,Vanecek,,,,18
Andreas Englund,Englund,,,,18
Joshua Jacobs,Jacobs,,,,18
Vladislav Kamenev,Kamenev,,,,18
Ryan MacInnis,MacInnis,,,,18
Eric Cornel,Cornel,,,,18
Brett Pollock,Pollock,,,,18
Julius Bergman,Bergman,,,,18
Ryan Collins,Collins,,,,18
Nicolas Aube-Kubel,Aube-Kubel,,,,18
Vaclav Karabacek,Karabacek,,,,18
Roland McKeown,McKeown,,,,18
Jack Dougherty,Dougherty,,,,18
Maxim Letunov,Letunov,,,,18
Noah Rod,Rod,,,,18
Hunter Smith,Smith,,,,18
Brandon Montour,Montour,,,,18
Ryan Donato,Donato,,,,18
Johnathan McLeod,McLeod,,,,18
Christian Dvorak,Dvorak,,,,18
Brandon Halverson,Halverson,,,,18
Alex Lintuniemi,Lintuniemi,,,,18
Jonas Johansson,Johansson,,,,18
Justin Kirkland,Kirkland,,,,18
Dominic Turgeon,Turgeon,,,,18
Brandon Hickey,Hickey,,,,18
Juho Lammikko,Lammikko,,,,18
Warren Foegele,Foegele,,,,18
Jack Glover,Glover,,,,18
Miles Gendron,Gendron,,,,18
Connor Chatham,Chatham,,,,18
Alex Schoenborn,Schoenborn,,,,18
Brett Lernout,Lernout,,,,18
Brycen Martin,Martin,,,,18
Alexander Peters,Peters,,,,18
Elvis Merzlikins,Merzlikins,,,,18
Blake Siebenaler,Siebenaler,,,,18
Ilya Sorokin,Sorokin,,,,18
Brayden Point,Point,,,,18
Louis Belpedio,Belpedio,,,,18
Dylan Sadowy,Sadowy,,,,18
Jake Walman,Walman,,,,18
Matheson Iacopelli,Iacopelli,,,,18
Kyle Wood,Wood,,,,18
Keegan Iverson,Iverson,,,,18
Mark Friedman,Friedman,,,,18
Anton Karlsson,Karlsson,,,,18
Beau Starrett,Starrett,,,,18
Nathan Walker,Walker,,,,18
Michael Amadio,Amadio,,,,18
William Lagesson,Lagesson,,,,18
Joe Wegwerth,Wegwerth,,,,18
Nicholas Magyar,Magyar,,,,18
Ville Husso,Husso,,,,18
Linus Soderstrom,Soderstrom,,,,18
Josh Wesley,Wesley,,,,18
Lucas Wallmark,Wallmark,,,,18
Frederik Olofsson,Olofsson,,,,18
Chase De Leo,Leo,,,,18
Shane Eiserman,Eiserman,,,,18
Nelson Nogier,Nogier,,,,18
Alexis Vanier,Vanier,,,,18
John Piccinich,Piccinich,,,,18
Ryan Mantha,Mantha,,,,18
Michael Prapavessis,Prapavessis,,,,18
Christoffer Ehn,Ehn,,,,18
Julien Pelletier,Pelletier,,,,18
Devon Toews,Toews,,,,18
Kaapo Kahkonen,Kahkonen,,,,18
Austin Poganski,Poganski,,,,18
Zachary Nagelvoort,Nagelvoort,,,,18
Sam Lafferty,Lafferty,,,,18
Alexis Pepin,Pepin,,,,18
Brent Moran,Moran,,,,18
Danton Heinen,Heinen,,,,18
Michael Bunting,Bunting,,,,18
Igor Shesterkin,Shesterkin,,,,18
Ben Thomas,Thomas,,,,18
Steven Johnson,Johnson,,,,18
Maxwell Willman,Willman,,,,18
Richard Nejezchleb,Nejezchleb,,,,18
Matthew Berkovitz,Berkovitz,,,,18
Jaedon Descheneau,Descheneau,,,,18
Nikolas Koberstein,Koberstein,,,,18
Gustav Forsling,Forsling,,,,18
Clark Bishop,Bishop,,,,18
Dakota Joshua,Joshua,,,,18
Clinston Franklin,Franklin,,,,18
Liam Coughlin,Coughlin,,,,18
Ryan Rehill,Rehill,,,,18
Joonas Lyytinen,Lyytinen,,,,18
Dysin Mayo,Mayo,,,,18
Shane Gersich,Gersich,,,,18
Miro Karjalainen,Karjalainen,,,,18
Chase Perry,Perry,,,,18
Tyler Bird,Bird,,,,18
Oskar Lindblom,Lindblom,,,,18
Tanner Faith,Faith,,,,18
Daniel Walcott,Walcott,,,,18
Luc Snuggerud,Snuggerud,,,,18
Tyler Nanne,Nanne,,,,18
Miguel Fidler,Fidler,,,,18
Anton Lindholm,Lindholm,,,,18
Anthony Angello,Angello,,,,18
Anders Bjork,Bjork,,,,18
Daniel Audette,Audette,,,,18
Andreas Soderberg,Soderberg,,,,18
Rourke Chartier,Chartier,,,,18
Alec Dillon,Dillon,,,,18
Christopher Brown,Brown,,,,18
Joey Dudek,Dudek,,,,18
Tyler Vesel,Vesel,,,,18
Aaron Haydon,Haydon,,,,18
Kyle Schempp,Schempp,,,,18
Kyle Pettit,Pettit,,,,18
Jake Marchment,Marchment,,,,18
Nolan Vesey,Vesey,,,,18
Steven Spinner,Spinner,,,,18
Pontus Sjalin,Sjalin,,,,18
Brandon Baddock,Baddock,,,,18
Aaron Irving,Irving,,,,18
David Westlund,Westlund,,,,18
Pavel Kraskovsky,Kraskovsky,,,,18
John Nyberg,Nyberg,,,,18
Julius Vahatalo,Vahatalo,,,,18
Chase Lang,Lang,,,,18
Radel Fazleev,Fazleev,,,,18
Reid Duke,Duke,,,,18
Cristiano Digiacinto,Digiacinto,,,,18
Kevin Labanc,Labanc,,,,18
Chandler Yakimowicz,Yakimowicz,,,,18
Jaden Lindo,Lindo,,,,18
Maximilian Pajpach,Pajpach,,,,18
Adam Ollas-Mattsson,Ollas-Mattsson,,,,18
Samuel Blais,Blais,,,,18
Hayden Hawkey,Hawkey,,,,18
Dylan Sikura,Sikura,,,,18
Ivan Nalimov,Nalimov,,,,18
Matthew Mistele,Mistele,,,,18
Victor Olofsson,Olofsson,,,,18
Hugo Fagerblom,Fagerblom,,,,18
Keven Bouchard,Bouchard,,,,18
Austin Carroll,Carroll,,,,18
Cameron Darcy,Darcy,,,,18
Mackenze Stewart,Stewart,,,,18
Kyle Jenkins,Jenkins,,,,18
Pierre Engvall,Engvall,,,,18
Kelly Summers,Summers,,,,18
Francis Perron,Perron,,,,18
Jared Fiegl,Fiegl,,,,18
Matt Ustaski,Ustaski,,,,18
Edgars Kulda,Kulda,,,,18
Kevin Elgestal,Elgestal,,,,18
Patrick Sanvido,Sanvido,,,,18
Axel Holmstrom,Holmstrom,,,,18
Olivier Leblanc,Leblanc,,,,18
Jesper Pettersson,Pettersson,,,,18
Pavel Jenys,Jenys,,,,18
Lukas Sutter,Sutter,,,,18
Alexander Kadeykin,Kadeykin,,,,18
Dwyer Tschantz,Tschantz,,,,18
Jeff Taylor,Taylor,,,,18
Julien Nantel,Nantel,,,,18
Ondrej Kase,Kase,,,,18
Emil Johansson,Johansson,,,,18
Jake Evans,Evans,,,,18
Jack Ramsey,Ramsey,,,,18
Spencer Watson,Watson,,,,18
Jacob Middleton,Middleton,,,,18
